2.593Am^-2 2GHz0.1593308360345088
2.594Am^-2 2GHz0.15957326033115812
2.5949999999999998Am^-2 2GHz0.15979902979992913
2.5959999999999996Am^-2 2GHz0.16000723333619946
2.597Am^-2 2GHz0.16019702072655992
2.598Am^-2 2GHz0.1603676125013201
2.5989999999999998Am^-2 2GHz0.16051830918492388
2.5999999999999996Am^-2 2GHz0.16064850036749162
2.601Am^-2 2GHz0.16075767242526112
2.602Am^-2 2GHz0.16084541597229823
2.6029999999999998Am^-2 2GHz0.16091143085016796
2.6039999999999996Am^-2 2GHz0.16095553067691132
2.605Am^-2 2GHz0.16097764484564042
2.606Am^-2 2GHz0.1609778186367466
2.6069999999999998Am^-2 2GHz0.16095621205508018
2.6079999999999997Am^-2 2GHz0.16091309544454613
2.609Am^-2 2GHz0.1608488443049806
2.61Am^-2 2GHz0.16076393106109071
2.6109999999999998Am^-2 2GHz0.1606589161121122
2.6119999999999997Am^-2 2GHz0.1605344366942186
2.613Am^-2 2GHz0.1603911947429794
2.614Am^-2 2GHz0.16022994385811773
2.6149999999999998Am^-2 2GHz0.1600514759095722
2.6159999999999997Am^-2 2GHz0.1598566072362982
2.617Am^-2 2GHz0.1596461655036844
2.618Am^-2 2GHz0.15942097678595002
2.6189999999999998Am^-2 2GHz0.15918185417540914
2.6199999999999997Am^-2 2GHz0.15892958721502196
2.621Am^-2 2GHz0.15866493346345914
2.622Am^-2 2GHz0.15838861143859775
2.6229999999999998Am^-2 2GHz0.1581012957440181
2.6239999999999997Am^-2 2GHz0.1578036138058963
2.625Am^-2 2GHz0.15749614509675927
2.626Am^-2 2GHz0.15717942169841362
2.627Am^-2 2GHz0.15685393072988443
2.6279999999999997Am^-2 2GHz0.15652011830406037
2.629Am^-2 2GHz0.15617839434164668
2.63Am^-2 2GHz0.15582913874587107
2.631Am^-2 2GHz0.1554727075274015
2.6319999999999997Am^-2 2GHz0.1551094399055719
2.633Am^-2 2GHz0.1547396643286061
2.634Am^-2 2GHz0.15436370532162652
2.635Am^-2 2GHz0.15398188839030746
2.6359999999999997Am^-2 2GHz0.1535945452660606
2.637Am^-2 2GHz0.15320201681551293
2.638Am^-2 2GHz0.15280465589767825
2.639Am^-2 2GHz0.1524028281525527
2.6399999999999997Am^-2 2GHz0.15199691156292883
2.641Am^-2 2GHz0.15158729526225073
2.642Am^-2 2GHz0.15117437591862265
2.643Am^-2 2GHz0.15075855456044776
2.6439999999999997Am^-2 2GHz0.15034023103106284
2.645Am^-2 2GHz0.1499197984733739
2.646Am^-2 2GHz0.14949763713143313
2.647Am^-2 2GHz0.1490741076286685
2.6479999999999997Am^-2 2GHz0.14864954462003382
2.649Am^-2 2GHz0.14822425000736433
2.65Am^-2 2GHz0.14779848716956645
2.651Am^-2 2GHz0.14737247560166022
2.6519999999999997Am^-2 2GHz0.1469463863188985
2.6529999999999996Am^-2 2GHz0.14652033843576506
2.654Am^-2 2GHz0.14609439656763543
2.655Am^-2 2GHz0.14566857001058292
2.6559999999999997Am^-2 2GHz0.14524281244570947
2.657Am^-2 2GHz0.14481702371319108
2.658Am^-2 2GHz0.14439105218644246
2.659Am^-2 2GHz0.14396469872004702
2.6599999999999997Am^-2 2GHz0.1435377214735176
2.6609999999999996Am^-2 2GHz0.1431098418170423
2.662Am^-2 2GHz0.14268075101370398
2.663Am^-2 2GHz0.1422501172508323
2.6639999999999997Am^-2 2GHz0.14181759352442513
2.665Am^-2 2GHz0.14138282532394095
2.666Am^-2 2GHz0.14094545850915813
2.667Am^-2 2GHz0.1405051468819187
2.6679999999999997Am^-2 2GHz0.1400615595043351
2.6689999999999996Am^-2 2GHz0.13961438733096343
2.67Am^-2 2GHz0.13916334915434742
2.671Am^-2 2GHz0.13870819667551929
2.6719999999999997Am^-2 2GHz0.13824871878852985
2.673Am^-2 2GHz0.13778474462819604
2.674Am^-2 2GHz0.13731614607202972
2.675Am^-2 2GHz0.13684283850439652
2.6759999999999997Am^-2 2GHz0.13636478130665275
2.6769999999999996Am^-2 2GHz0.13588197707716118
2.678Am^-2 2GHz0.13539447005267977
2.679Am^-2 2GHz0.13490234379693478
2.6799999999999997Am^-2 2GHz0.13440571835026424
2.681Am^-2 2GHz0.13390474673722863
2.682Am^-2 2GHz0.13339961142192905
2.683Am^-2 2GHz0.13289052033708285
2.6839999999999997Am^-2 2GHz0.13237770290240336
2.6849999999999996Am^-2 2GHz0.13186140646709602
2.686Am^-2 2GHz0.13134189303880417
2.687Am^-2 2GHz0.1308194364268369
2.6879999999999997Am^-2 2GHz0.13029432036687552
2.689Am^-2 2GHz0.1297668376244924
2.69Am^-2 2GHz0.12923729002934012
2.691Am^-2 2GHz0.1287059900733408
2.6919999999999997Am^-2 2GHz0.1281732638548362
2.6929999999999996Am^-2 2GHz0.12763945545852928
2.694Am^-2 2GHz0.1271049329342667
2.695Am^-2 2GHz0.12657009576299105
2.6959999999999997Am^-2 2GHz0.1260353834590155
2.697Am^-2 2GHz0.1255012856364146
2.698Am^-2 2GHz0.12496835249531207
2.699Am^-2 2GHz0.12443720620856626
2.6999999999999997Am^-2 2GHz0.12390855207744345
2.7009999999999996Am^-2 2GHz0.12338318934406968
2.702Am^-2 2GHz0.12286202117879369
2.703Am^-2 2GHz0.12234606331119255
2.7039999999999997Am^-2 2GHz0.1218364509774706
2.705Am^-2 2GHz0.12133444312421991
2.706Am^-2 2GHz0.12084142465749759
2.707Am^-2 2GHz0.12035890537941953
2.7079999999999997Am^-2 2GHz0.11988851590691356
2.7089999999999996Am^-2 2GHz0.1194320005259993
