2.948Am^-2 2GHz-0.002665192976935006
2.9490000000000003Am^-2 2GHz-0.0027801549663443227
2.95Am^-2 2GHz-0.0028993381113856112
2.951Am^-2 2GHz-0.0030227486612140995
2.952Am^-2 2GHz-0.0031503951462347707
2.9530000000000003Am^-2 2GHz-0.003282287594904003
2.954Am^-2 2GHz-0.0034184365185186225
2.955Am^-2 2GHz-0.0035588516820172
2.956Am^-2 2GHz-0.003703542458735254
2.9570000000000003Am^-2 2GHz-0.003852516752113365
2.958Am^-2 2GHz-0.004005781195526043
2.959Am^-2 2GHz-0.004163341197313251
2.96Am^-2 2GHz-0.004325201379222851
2.9610000000000003Am^-2 2GHz-0.004491366291731742
2.962Am^-2 2GHz-0.004661840829783898
2.963Am^-2 2GHz-0.0048366316072158775
2.964Am^-2 2GHz-0.005015748239067864
2.9650000000000003Am^-2 2GHz-0.005199204299984071
2.966Am^-2 2GHz-0.0053870188828303725
2.967Am^-2 2GHz-0.005579218058003261
2.968Am^-2 2GHz-0.005775836258219783
2.9690000000000003Am^-2 2GHz-0.00597691731361028
2.97Am^-2 2GHz-0.0061825159097857706
2.971Am^-2 2GHz-0.006392698537912107
2.972Am^-2 2GHz-0.006607543724277637
2.9730000000000003Am^-2 2GHz-0.0068271429560454264
2.974Am^-2 2GHz-0.007051600365123228
2.975Am^-2 2GHz-0.007281032284636486
2.976Am^-2 2GHz-0.007515566729977082
2.9770000000000003Am^-2 2GHz-0.007755342152009525
2.978Am^-2 2GHz-0.008000505519802541
2.979Am^-2 2GHz-0.008251210908388365
2.98Am^-2 2GHz-0.008507616604026907
2.9810000000000003Am^-2 2GHz-0.008769882616622733
2.982Am^-2 2GHz-0.009038168004842152
2.983Am^-2 2GHz-0.009312627083599366
2.984Am^-2 2GHz-0.009593406755645585
2.9850000000000003Am^-2 2GHz-0.009880642278082722
2.986Am^-2 2GHz-0.010174454402885228
2.987Am^-2 2GHz-0.01047494535455424
2.988Am^-2 2GHz-0.01078219557489294
2.9890000000000003Am^-2 2GHz-0.011096259906670623
2.99Am^-2 2GHz-0.011417164806105641
2.991Am^-2 2GHz-0.011744904460916741
2.992Am^-2 2GHz-0.012079437966001479
2.9930000000000003Am^-2 2GHz-0.012420686144720186
2.994Am^-2 2GHz-0.012768528769853182
2.995Am^-2 2GHz-0.01312280152046652
2.996Am^-2 2GHz-0.013483292687105202
2.9970000000000003Am^-2 2GHz-0.013849741201017614
2.998Am^-2 2GHz-0.014221832814688008
2.999Am^-2 2GHz-0.014599197283150666
3.0Am^-2 2GHz-0.014981405799018402
3.0010000000000003Am^-2 2GHz-0.015367967038652397
3.0020000000000002Am^-2 2GHz-0.015758324413582776
3.003Am^-2 2GHz-0.016151852300311575
3.004Am^-2 2GHz-0.016547853265551523
3.005Am^-2 2GHz-0.01694555417729747
3.0060000000000002Am^-2 2GHz-0.017344103049450794
3.007Am^-2 2GHz-0.01774256631110334
3.008Am^-2 2GHz-0.01813992616465793
3.0090000000000003Am^-2 2GHz-0.0185350778032241
3.0100000000000002Am^-2 2GHz-0.018926828649215566
3.011Am^-2 2GHz-0.019313896497721653
3.012Am^-2 2GHz-0.019694910456045857
3.013Am^-2 2GHz-0.020068411404137766
3.0140000000000002Am^-2 2GHz-0.020432853847311305
3.015Am^-2 2GHz-0.02078660993582786
3.016Am^-2 2GHz-0.021127974271899955
3.0170000000000003Am^-2 2GHz-0.021455168975457635
3.0180000000000002Am^-2 2GHz-0.021766352485194127
3.019Am^-2 2GHz-0.022059627715423212
3.02Am^-2 2GHz-0.022333052994426894
3.021Am^-2 2GHz-0.022584653766426224
3.0220000000000002Am^-2 2GHz-0.022812435258456065
3.023Am^-2 2GHz-0.023014397249741414
3.024Am^-2 2GHz-0.0231885486435874
3.0250000000000004Am^-2 2GHz-0.023332923800672277
3.0260000000000002Am^-2 2GHz-0.023445598634214627
3.027Am^-2 2GHz-0.02352470774749976
3.028Am^-2 2GHz-0.02356846024276628
3.029Am^-2 2GHz-0.023575157311179047
3.0300000000000002Am^-2 2GHz-0.023543207611361708
3.031Am^-2 2GHz-0.02347114219518282
3.032Am^-2 2GHz-0.023357628912495196
3.0330000000000004Am^-2 2GHz-0.023201485116280667
3.0340000000000003Am^-2 2GHz-0.023001688811234034
3.035Am^-2 2GHz-0.02275738765083188
3.036Am^-2 2GHz-0.02246790778187119
3.037Am^-2 2GHz-0.02213275793914973
3.0380000000000003Am^-2 2GHz-0.021751634109457414
3.039Am^-2 2GHz-0.021324420282645095
3.04Am^-2 2GHz-0.020851188268721902
3.0410000000000004Am^-2 2GHz-0.020332194981181495
3.0420000000000003Am^-2 2GHz-0.01976787751998489
3.043Am^-2 2GHz-0.019158847219677932
3.044Am^-2 2GHz-0.018505882053865566
3.045Am^-2 2GHz-0.017809916299869458
3.0460000000000003Am^-2 2GHz-0.01707203099399943
3.047Am^-2 2GHz-0.016293441800755412
3.048Am^-2 2GHz-0.015475487337780178
3.0490000000000004Am^-2 2GHz-0.014619615937333352
3.0500000000000003Am^-2 2GHz-0.013727372806953162
3.051Am^-2 2GHz-0.012800387002942063
3.052Am^-2 2GHz-0.011840358056655747
3.053Am^-2 2GHz-0.010849044354055553
3.0540000000000003Am^-2 2GHz-0.009828249381177814
3.055Am^-2 2GHz-0.008779811424458068
3.056Am^-2 2GHz-0.007705591982374195
3.0570000000000004Am^-2 2GHz-0.006607465505969241
3.0580000000000003Am^-2 2GHz-0.005487310164048778
3.059Am^-2 2GHz-0.0043469995212447095
3.06Am^-2 2GHz-0.0031883941780925574
3.061Am^-2 2GHz-0.0020133358089494953
3.0620000000000003Am^-2 2GHz-0.0008236400493504639
3.063Am^-2 2GHz0.00037890795162323317
3.064Am^-2 2GHz0.0015925584576674994
3.0650000000000004Am^-2 2GHz0.0028156015550988775
3.0660000000000003Am^-2 2GHz0.004046369276417104
3.067Am^-2 2GHz0.005283239410259501
3.068Am^-2 2GHz0.006524637189974087
3.069Am^-2 2GHz0.007769037216264225
3.0700000000000003Am^-2 2GHz0.00901496424795103
3.071Am^-2 2GHz0.010260994676455729
3.072Am^-2 2GHz0.011505756357107561
3.073Am^-2 2GHz0.012747929124857033
3.0740000000000003Am^-2 2GHz0.013986244247967227
3.075Am^-2 2GHz0.015219483428225477
3.076Am^-2 2GHz0.01644647814554737
3.077Am^-2 2GHz0.01766610821138836
3.0780000000000003Am^-2 2GHz0.018877299959063124
3.079Am^-2 2GHz0.020079024273492445
3.08Am^-2 2GHz0.021270294825129273
3.081Am^-2 2GHz0.022450165001586822
3.0820000000000003Am^-2 2GHz0.02361772619136719
3.083Am^-2 2GHz0.024772105399548786
3.084Am^-2 2GHz0.025912462285857616
3.085Am^-2 2GHz0.027037987284592915
3.0860000000000003Am^-2 2GHz0.02814789961349542
3.087Am^-2 2GHz0.029241445779882493
3.088Am^-2 2GHz0.030317898067190138
3.089Am^-2 2GHz0.031376553102073046
3.0900000000000003Am^-2 2GHz0.03241673235617491
3.091Am^-2 2GHz0.033437781183789005
3.092Am^-2 2GHz0.034439069654334874
3.093Am^-2 2GHz0.03541999240284692
3.0940000000000003Am^-2 2GHz0.036379971173025306
3.095Am^-2 2GHz0.03731845496448995
3.096Am^-2 2GHz0.038234921113921516
3.097Am^-2 2GHz0.039128878323324345
3.0980000000000003Am^-2 2GHz0.03999986639895613
3.099Am^-2 2GHz0.04084745899184953
3.1Am^-2 2GHz0.041671264095749234
3.101Am^-2 2GHz0.04247092476938281
3.1020000000000003Am^-2 2GHz0.043246120326900346
3.103Am^-2 2GHz0.04399656614381832
3.104Am^-2 2GHz0.044722013259516996
3.105Am^-2 2GHz0.04542224887713707
3.1060000000000003Am^-2 2GHz0.046097093592102484
3.107Am^-2 2GHz0.04674640236039354
3.108Am^-2 2GHz0.04737006140348519
3.109Am^-2 2GHz0.04796798736262415
3.1100000000000003Am^-2 2GHz0.048540125060461355
3.111Am^-2 2GHz0.049086446246260414
3.112Am^-2 2GHz0.04960694719922747
3.113Am^-2 2GHz0.05010164779405037
3.1140000000000003Am^-2 2GHz0.050570588882624494
3.115Am^-2 2GHz0.051013832156753404
3.116Am^-2 2GHz0.05143145802942341
3.117Am^-2 2GHz0.051823565542223615
3.1180000000000003Am^-2 2GHz0.05219027169795245
3.119Am^-2 2GHz0.052531710079302574
3.12Am^-2 2GHz0.05284803208327936
3.121Am^-2 2GHz0.053139406220214
3.1220000000000003Am^-2 2GHz0.05340601844709398
3.123Am^-2 2GHz0.05364807228198974
3.124Am^-2 2GHz0.05386578876146275
3.125Am^-2 2GHz0.05405940696394277
3.1260000000000003Am^-2 2GHz0.05422918411332646
3.1270000000000002Am^-2 2GHz0.05437539437393889
3.128Am^-2 2GHz0.05449832986419133
3.129Am^-2 2GHz0.05459829785129181
3.1300000000000003Am^-2 2GHz0.05467562144697499
3.1310000000000002Am^-2 2GHz0.054730636234548116
3.132Am^-2 2GHz0.05476368977254209
3.133Am^-2 2GHz0.05477513727247039
3.1340000000000003Am^-2 2GHz0.05476534048292463
3.1350000000000002Am^-2 2GHz0.054734662650967277
3.136Am^-2 2GHz0.054683466180312654
3.137Am^-2 2GHz0.05461210755304481
3.138Am^-2 2GHz0.05452093347176805
3.1390000000000002Am^-2 2GHz0.05441027684189226
3.14Am^-2 2GHz0.05428045161532343
3.141Am^-2 2GHz0.05413174861606275
3.1420000000000003Am^-2 2GHz0.05396443147791214
3.1430000000000002Am^-2 2GHz0.053778732255685774
3.144Am^-2 2GHz0.05357484773788918
3.145Am^-2 2GHz0.05335293604767209
3.146Am^-2 2GHz0.05311311384906345
3.1470000000000002Am^-2 2GHz0.05285545364211675
3.148Am^-2 2GHz0.05257998193617423
3.149Am^-2 2GHz0.05228667836795254
3.1500000000000004Am^-2 2GHz0.051975474386145616
3.1510000000000002Am^-2 2GHz0.051646253648126875
3.152Am^-2 2GHz0.05129885246258224
3.153Am^-2 2GHz0.050933060142753284
3.154Am^-2 2GHz0.050548620837963555
3.1550000000000002Am^-2 2GHz0.05014523591911851
3.156Am^-2 2GHz0.04972256493529263
3.157Am^-2 2GHz0.0492802293345543
3.1580000000000004Am^-2 2GHz0.04881781433147223
3.1590000000000003Am^-2 2GHz0.04833487266937264
3.16Am^-2 2GHz0.047830926209714075
3.161Am^-2 2GHz0.04730547086174306
3.162Am^-2 2GHz0.04675797831076946
3.1630000000000003Am^-2 2GHz0.04618789999240003
3.164Am^-2 2GHz0.045594670099976496
3.165Am^-2 2GHz0.04497770907327886
3.1660000000000004Am^-2 2GHz0.04433642709244875
3.1670000000000003Am^-2 2GHz0.04367022790697167
3.168Am^-2 2GHz0.042978512283848296
3.169Am^-2 2GHz0.04226068371071321
3.17Am^-2 2GHz0.041516151624958524
3.1710000000000003Am^-2 2GHz0.04074433758233423
3.172Am^-2 2GHz0.03994468174821376
3.173Am^-2 2GHz0.03911664894035157
3.1740000000000004Am^-2 2GHz0.038259736855169514
3.1750000000000003Am^-2 2GHz0.037373484481795276
3.176Am^-2 2GHz0.03645748131621846
3.177Am^-2 2GHz0.0355113785916592
3.178Am^-2 2GHz0.034534900019760034
3.1790000000000003Am^-2 2GHz0.033527853731521146
3.18Am^-2 2GHz0.03249014661619829
3.181Am^-2 2GHz0.031421795919704364
3.1820000000000004Am^-2 2GHz0.030322945022695693
3.1830000000000003Am^-2 2GHz0.029193875786305175
3.184Am^-2 2GHz0.028035024276046323
3.185Am^-2 2GHz0.026846993414557783
3.186Am^-2 2GHz0.025630567279127124
3.1870000000000003Am^-2 2GHz0.02438672326721126
3.188Am^-2 2GHz0.0231166436430783
3.189Am^-2 2GHz0.021821726927095837
3.1900000000000004Am^-2 2GHz0.020503596175289112
3.1910000000000003Am^-2 2GHz0.01916410764175353
3.192Am^-2 2GHz0.017805356354016155
3.193Am^-2 2GHz0.016429680454125014
3.194Am^-2 2GHz0.015039663648274993
3.1950000000000003Am^-2 2GHz0.013638134636153947
3.196Am^-2 2GHz0.012228165202361557
3.197Am^-2 2GHz0.010813064660341534
3.1980000000000004Am^-2 2GHz0.009396371431441728
3.1990000000000003Am^-2 2GHz0.007981841245841132
3.2Am^-2 2GHz0.006573432082474658
3.201Am^-2 2GHz0.00517528383426407
3.202Am^-2 2GHz0.003791694293829454
3.2030000000000003Am^-2 2GHz0.0024270901019659927
3.204Am^-2 2GHz0.0010859934119390516
3.205Am^-2 2GHz-0.00022701780990650822
3.2060000000000004Am^-2 2GHz-0.001507353406593032
3.2070000000000003Am^-2 2GHz-0.002750457646534618
3.208Am^-2 2GHz-0.0039518619788016015
3.209Am^-2 2GHz-0.0051072384267473545
3.21Am^-2 2GHz-0.0062124549952709725
3.2110000000000003Am^-2 2GHz-0.007263630498382805
3.212Am^-2 2GHz-0.008257187704168962
3.213Am^-2 2GHz-0.009189903604143523
3.2140000000000004Am^-2 2GHz-0.010058952072750005
3.2150000000000003Am^-2 2GHz-0.01086194206161613
3.216Am^-2 2GHz-0.011596944800827258
3.217Am^-2 2GHz-0.012262513594011275
3.218Am^-2 2GHz-0.012857691132976978
3.2190000000000003Am^-2 2GHz-0.013382007909601224
3.22Am^-2 2GHz-0.013835468838364081
3.221Am^-2 2GHz-0.014218531234333556
3.2220000000000004Am^-2 2GHz-0.014532073354561295
3.2230000000000003Am^-2 2GHz-0.01477735615380073
3.224Am^-2 2GHz-0.014955978980629182
3.225Am^-2 2GHz-0.015069831898195685
3.226Am^-2 2GHz-0.015121045451916258
3.2270000000000003Am^-2 2GHz-0.015111940217378462
3.228Am^-2 2GHz-0.015044977949398393
3.229Am^-2 2GHz-0.014922714498643939
