6.398Am^-2 2GHz0.20604296253316678
6.399Am^-2 2GHz0.20544103754063414
6.4Am^-2 2GHz0.20482760004405834
6.401Am^-2 2GHz0.20420276385163907
6.402Am^-2 2GHz0.20356665471126667
6.403Am^-2 2GHz0.20291941152959708
6.404Am^-2 2GHz0.2022611876823187
6.404999999999999Am^-2 2GHz0.20159215248887485
6.406Am^-2 2GHz0.2009124929411192
6.407Am^-2 2GHz0.20022241558422055
6.4079999999999995Am^-2 2GHz0.19952214865197201
6.409Am^-2 2GHz0.19881194448262102
6.41Am^-2 2GHz0.19809208222290214
6.411Am^-2 2GHz0.19736287094190194
6.412Am^-2 2GHz0.1966246530772708
6.413Am^-2 2GHz0.19587780836573668
6.414Am^-2 2GHz0.1951227583411903
6.415Am^-2 2GHz0.19435997136860791
6.416Am^-2 2GHz0.19358996836113151
6.417Am^-2 2GHz0.19281332935910425
6.418Am^-2 2GHz0.1920307008808623
6.419Am^-2 2GHz0.19124280443817887
6.42Am^-2 2GHz0.19045044614688963
6.420999999999999Am^-2 2GHz0.18965452771819266
6.422Am^-2 2GHz0.18885605913308431
6.423Am^-2 2GHz0.18805617296991123
6.4239999999999995Am^-2 2GHz0.1872561410643275
6.425Am^-2 2GHz0.18645739362572064
6.426Am^-2 2GHz0.18566154090174822
6.427Am^-2 2GHz0.1848703987604592
6.428Am^-2 2GHz0.1840860179817574
6.429Am^-2 2GHz0.18331071833441093
6.43Am^-2 2GHz0.18254712807007348
6.431Am^-2 2GHz0.18179823013059734
6.432Am^-2 2GHz0.1810674159594845
6.433Am^-2 2GHz0.18035854863566766
6.434Am^-2 2GHz0.17967603665760026
6.435Am^-2 2GHz0.1790249203505443
6.436Am^-2 2GHz0.17841097248301238
6.436999999999999Am^-2 2GHz0.17784081442169122
6.438Am^-2 2GHz0.1773220472519882
6.439Am^-2 2GHz0.1768633949672937
6.4399999999999995Am^-2 2GHz0.17647485153932888
6.441Am^-2 2GHz0.17616782207864445
6.442Am^-2 2GHz0.17595526965489336
6.443Am^-2 2GHz0.17585197120321183
6.444Am^-2 2GHz0.1758750597580356
6.445Am^-2 2GHz0.17604431044775318
6.446Am^-2 2GHz0.1763873836863171
6.447Am^-2 2GHz0.17698149441962047
6.448Am^-2 2GHz0.17771957028271002
6.449Am^-2 2GHz0.17867125407318984
6.45Am^-2 2GHz0.17983922908849753
6.451Am^-2 2GHz0.1812183170688153
6.452Am^-2 2GHz0.18280940516229588
6.452999999999999Am^-2 2GHz0.18466110577408548
6.454Am^-2 2GHz0.18695935060227445
6.455Am^-2 2GHz0.1901757450940555
6.4559999999999995Am^-2 2GHz0.19524787265791368
6.457Am^-2 2GHz0.20367497061053624
6.458Am^-2 2GHz0.21685479091437315
6.459Am^-2 2GHz0.22647639221656313
6.46Am^-2 2GHz0.14737499011859798
6.461Am^-2 2GHz0.23499489127702594
6.462Am^-2 2GHz0.2678828879275331
6.463Am^-2 2GHz0.27649512347976957
6.4639999999999995Am^-2 2GHz0.2779259426629706
6.465Am^-2 2GHz0.27678543375228254
6.465999999999999Am^-2 2GHz0.2746538938575222
6.467Am^-2 2GHz0.2721576581446053
6.468Am^-2 2GHz0.26956915072626714
6.468999999999999Am^-2 2GHz0.2670117610990379
6.47Am^-2 2GHz0.2645400611712847
6.471Am^-2 2GHz0.2621748524256293
6.4719999999999995Am^-2 2GHz0.2599198286279301
6.473Am^-2 2GHz0.2577700128902255
6.474Am^-2 2GHz0.2557162235862711
6.475Am^-2 2GHz0.2537475048640697
6.476Am^-2 2GHz0.2518524637456368
6.477Am^-2 2GHz0.2500199988730814
6.478Am^-2 2GHz0.24823968210107308
6.479Am^-2 2GHz0.246501938817191
6.4799999999999995Am^-2 2GHz0.24479811130213813
6.481Am^-2 2GHz0.2431204544787281
6.481999999999999Am^-2 2GHz0.24146209382140857
6.483Am^-2 2GHz0.23981696337234842
6.484Am^-2 2GHz0.2381797347642945
6.484999999999999Am^-2 2GHz0.23654574381098886
6.486Am^-2 2GHz0.2349109185666596
6.487Am^-2 2GHz0.23327171109075953
6.4879999999999995Am^-2 2GHz0.23162503398463916
6.489Am^-2 2GHz0.22996820227354686
6.49Am^-2 2GHz0.22829888063836348
6.491Am^-2 2GHz0.22661503586407342
6.492Am^-2 2GHz0.2249148940884162
6.493Am^-2 2GHz0.2231969025070091
6.494Am^-2 2GHz0.22145969503057492
6.495Am^-2 2GHz0.21970206140029788
6.4959999999999996Am^-2 2GHz0.2179229193113672
6.497Am^-2 2GHz0.21612128904818395
6.497999999999999Am^-2 2GHz0.21429627017055106
6.499Am^-2 2GHz0.2124470198351242
6.5Am^-2 2GHz0.21057273229111098
6.5009999999999994Am^-2 2GHz0.2086726191577697
6.502Am^-2 2GHz0.20674589006521485
6.503Am^-2 2GHz0.204791733262229
6.504Am^-2 2GHz0.20280929583785864
6.505Am^-2 2GHz0.200797663118033
6.506Am^-2 2GHz0.198755836897311
6.507Am^-2 2GHz0.19668271219176076
6.508Am^-2 2GHz0.19457705207636852
6.509Am^-2 2GHz0.19243746046290935
6.51Am^-2 2GHz0.1902623525877219
6.511Am^-2 2GHz0.18804992326182493
6.512Am^-2 2GHz0.18579811321313258
6.513Am^-2 2GHz0.18350457446735025
6.513999999999999Am^-2 2GHz0.18116663662419297
6.515Am^-2 2GHz0.17878127755845127
6.516Am^-2 2GHz0.17634510492859048
6.5169999999999995Am^-2 2GHz0.17385435938910632
6.518Am^-2 2GHz0.1713049586016867
6.519Am^-2 2GHz0.1686926134497841
6.52Am^-2 2GHz0.1660130686454393
6.521Am^-2 2GHz0.1632625501601739
6.522Am^-2 2GHz0.16043854481726005
6.523Am^-2 2GHz0.157541088402771
6.524Am^-2 2GHz0.15457477972173653
6.525Am^-2 2GHz0.15155171978786952
6.526Am^-2 2GHz0.1484953980311517
6.527Am^-2 2GHz0.14544506187704223
6.528Am^-2 2GHz0.14245919100774826
6.529Am^-2 2GHz0.1396154886224697
6.529999999999999Am^-2 2GHz0.13700402437583278
6.531Am^-2 2GHz0.13471117551239087
6.532Am^-2 2GHz0.132795857184115
6.5329999999999995Am^-2 2GHz0.1312650796799561
6.534Am^-2 2GHz0.130059239491971
6.535Am^-2 2GHz0.12905518854890766
6.536Am^-2 2GHz0.12808795122285357
6.537Am^-2 2GHz0.12698452259377124
6.538Am^-2 2GHz0.12559878642756817
6.539Am^-2 2GHz0.1238360450101857
6.54Am^-2 2GHz0.12165955446159188
6.541Am^-2 2GHz0.11907933759329266
6.542Am^-2 2GHz0.11613167202302141
6.543Am^-2 2GHz0.11286103905113141
6.544Am^-2 2GHz0.10931247902221619
6.545Am^-2 2GHz0.10553350499659465
6.545999999999999Am^-2 2GHz0.10157799949920307
6.872999999999999Am^-2 2GHz0.10230872999371539
6.874Am^-2 2GHz0.1060165632493658
6.875Am^-2 2GHz0.10974381867214697
6.8759999999999994Am^-2 2GHz0.11348492753225818
6.877Am^-2 2GHz0.11723541824599959
6.878Am^-2 2GHz0.12099178045824963
6.879Am^-2 2GHz0.1247513497555757
6.88Am^-2 2GHz0.12851220485820158
6.881Am^-2 2GHz0.13227307207951078
6.882Am^-2 2GHz0.13603323343320362
6.883Am^-2 2GHz0.1397924364196048
6.884Am^-2 2GHz0.14355080447421995
6.885Am^-2 2GHz0.14730874795778723
6.886Am^-2 2GHz0.15106687593182216
6.887Am^-2 2GHz0.15482590948497513
6.888Am^-2 2GHz0.158586597332113
6.888999999999999Am^-2 2GHz0.16234963488687196
6.89Am^-2 2GHz0.16611558755164083
6.891Am^-2 2GHz0.16988481946497108
6.8919999999999995Am^-2 2GHz0.17365742839096654
6.893Am^-2 2GHz0.17743318781256662
6.894Am^-2 2GHz0.18121149681592036
6.895Am^-2 2GHz0.18499133841616758
6.896Am^-2 2GHz0.1887712469269028
6.897Am^-2 2GHz0.1925492846760195
6.898Am^-2 2GHz0.19632302847255076
6.899Am^-2 2GHz0.2000895659317556
6.9Am^-2 2GHz0.20384550187337916
6.901Am^-2 2GHz0.20758697466871015
6.902Am^-2 2GHz0.2113096824484748
6.903Am^-2 2GHz0.21500891896383928
6.904Am^-2 2GHz0.21867961848162745
6.904999999999999Am^-2 2GHz0.2223164092953735
6.906Am^-2 2GHz0.22591367489581346
6.907Am^-2 2GHz0.2294656217859162
6.9079999999999995Am^-2 2GHz0.23296635261290705
6.909Am^-2 2GHz0.23640994322602416
6.91Am^-2 2GHz0.2397905218285864
6.911Am^-2 2GHz0.2431023484061455
6.912Am^-2 2GHz0.24633989254824692
6.913Am^-2 2GHz0.24949790760808574
6.914Am^-2 2GHz0.25257149935686646
6.915Am^-2 2GHz0.25555618742154423
6.916Am^-2 2GHz0.2584479579605377
6.917Am^-2 2GHz0.2612433065311621
6.918Am^-2 2GHz0.263939270262862
6.919Am^-2 2GHz0.2665334490144161
6.92Am^-2 2GHz0.26902401558071504
6.920999999999999Am^-2 2GHz0.2714097152686193
6.922Am^-2 2GHz0.2736898556271473
6.923Am^-2 2GHz0.27586428736762214
6.9239999999999995Am^-2 2GHz0.2779333776312376
6.925Am^-2 2GHz0.2798979769411681
6.926Am^-2 2GHz0.2817593812658908
6.927Am^-2 2GHz0.2835192904942507
6.928Am^-2 2GHz0.2851797647244148
6.929Am^-2 2GHz0.28674317949352385
6.93Am^-2 2GHz0.28821218111891717
6.931Am^-2 2GHz0.28958964297720996
6.932Am^-2 2GHz0.2908786236211749
6.933Am^-2 2GHz0.2920823272663197
6.934Am^-2 2GHz0.29320406714315167
6.935Am^-2 2GHz0.2942472320317006
6.936Am^-2 2GHz0.2952152561653851
6.936999999999999Am^-2 2GHz0.29611159255426517
6.938Am^-2 2GHz0.29693968974802337
6.939Am^-2 2GHz0.297702971815452
6.9399999999999995Am^-2 2GHz0.29840482147166153
6.941Am^-2 2GHz0.29904856605637303
6.942Am^-2 2GHz0.2996374660680445
6.943Am^-2 2GHz0.3001747060524108
6.944Am^-2 2GHz0.3006633874896384
6.945Am^-2 2GHz0.3011065234232079
6.946Am^-2 2GHz0.3015070345110658
6.947Am^-2 2GHz0.3018677463639682
6.948Am^-2 2GHz0.3021913878446584
6.949Am^-2 2GHz0.3024805901549964
6.95Am^-2 2GHz0.3027378865451894
6.951Am^-2 2GHz0.302965712536052
6.952Am^-2 2GHz0.3031664065474446
6.952999999999999Am^-2 2GHz0.3033422107335501
6.954Am^-2 2GHz0.30349527210266464
6.955Am^-2 2GHz0.303627643787309
6.9559999999999995Am^-2 2GHz0.30374128641607956
6.957Am^-2 2GHz0.30383806962373316
6.958Am^-2 2GHz0.3039197736237942
6.959Am^-2 2GHz0.30398809085500506
6.96Am^-2 2GHz0.304044627741053
6.961Am^-2 2GHz0.3040909064664819
6.962Am^-2 2GHz0.304128366833886
6.963Am^-2 2GHz0.30415836818307407
6.964Am^-2 2GHz0.30418219144371217
6.965Am^-2 2GHz0.3042010411630008
6.965999999999999Am^-2 2GHz0.3042160476582423
6.967Am^-2 2GHz0.3042282691631315
6.968Am^-2 2GHz0.30423869411894794
6.968999999999999Am^-2 2GHz0.30424824347029467
6.97Am^-2 2GHz0.30425777299438966
6.971Am^-2 2GHz0.3042680756535395
6.9719999999999995Am^-2 2GHz0.3042798840679484
6.973Am^-2 2GHz0.3042938728355223
6.974Am^-2 2GHz0.3043106610927264
6.975Am^-2 2GHz0.3043308148124414
6.976Am^-2 2GHz0.304354849304851
6.977Am^-2 2GHz0.30438323164940984
6.978Am^-2 2GHz0.30441638298083745
6.979Am^-2 2GHz0.3044546808962085
6.9799999999999995Am^-2 2GHz0.3044984617687422
6.981Am^-2 2GHz0.3045480230019691
6.981999999999999Am^-2 2GHz0.30460362519432516
6.983Am^-2 2GHz0.30466549434049034
6.984Am^-2 2GHz0.3047338239122854
6.984999999999999Am^-2 2GHz0.30480877679702273
6.986Am^-2 2GHz0.30489048739981156
6.987Am^-2 2GHz0.30497906336610253
6.9879999999999995Am^-2 2GHz0.30507458753328465
6.989Am^-2 2GHz0.3051771195387368
6.99Am^-2 2GHz0.3052866975530894
6.991Am^-2 2GHz0.3054033398519198
6.992Am^-2 2GHz0.30552704631251315
6.993Am^-2 2GHz0.30565779990985675
6.994Am^-2 2GHz0.3057955679147509
6.995Am^-2 2GHz0.30594030339212386
6.9959999999999996Am^-2 2GHz0.30609194633418707
6.997Am^-2 2GHz0.30625042480155806
6.997999999999999Am^-2 2GHz0.3064156560030459
6.999Am^-2 2GHz0.3065875473822997
7.0Am^-2 2GHz0.30676599749265654
7.0009999999999994Am^-2 2GHz0.3069508970334562
7.002Am^-2 2GHz0.3071421295715668
7.003Am^-2 2GHz0.3073395723970217
7.004Am^-2 2GHz0.3075430972491816
7.005Am^-2 2GHz0.3077525710427671
7.006Am^-2 2GHz0.30796785647857544
7.007Am^-2 2GHz0.30818881257189745
7.008Am^-2 2GHz0.30841529543211244
7.009Am^-2 2GHz0.3086471585252719
7.01Am^-2 2GHz0.3088842532272162
7.011Am^-2 2GHz0.3091264294038767
7.012Am^-2 2GHz0.3093735355949842
7.013Am^-2 2GHz0.30962541954281514
7.013999999999999Am^-2 2GHz0.3098819283982354
7.015Am^-2 2GHz0.31014290910309006
7.016Am^-2 2GHz0.3104082084879166
7.0169999999999995Am^-2 2GHz0.31067767359613785
7.018Am^-2 2GHz0.3109511521992727
7.019Am^-2 2GHz0.311228493784446
7.02Am^-2 2GHz0.31150955012584913
7.021Am^-2 2GHz0.31179416906812074
7.022Am^-2 2GHz0.3120822005788402
7.023Am^-2 2GHz0.3123735015480736
7.024Am^-2 2GHz0.3126679378174739
7.025Am^-2 2GHz0.3129653821114956
7.026Am^-2 2GHz0.31326569574445545
7.027Am^-2 2GHz0.3135687230116232
7.028Am^-2 2GHz0.3138743137344052
7.029Am^-2 2GHz0.31418233261249856
7.029999999999999Am^-2 2GHz0.31449265142159216
7.031Am^-2 2GHz0.3148051445502636
7.032Am^-2 2GHz0.3151196840498126
7.0329999999999995Am^-2 2GHz0.3154361431739043
7.034Am^-2 2GHz0.3157544007088635
7.035Am^-2 2GHz0.3160743365950581
7.036Am^-2 2GHz0.31639583293549134
7.037Am^-2 2GHz0.3167187737117541
7.038Am^-2 2GHz0.3170430452711424
7.039Am^-2 2GHz0.3173685362271602
